Batch No,Complexity,Batch Owner,Location,Batch Status,QC Status,Auditor Status,Remarks
164,2-Rev/Description Update,Aafrin,Reach-in,InProgress,,,
256,10-Purchased Parts,Aafrin,Reach-in,Completed,Completed,,
274,3-7/10 digit part numbers,Aafrin,Reach-in,Completed,,,
431,3-7/10 digit part numbers,Aafrin,Reach-in,Hold,,,
166,1-Rev/Description,Aafrin,Insight,Completed,,,Prince batch
171,1-Rev/Description,Aafrin,Insight,Hold,,,aaditional batch  5
217,1-Rev/Description,Aafrin,Insight,Completed,,,
67,3-7/10 digit part numbers,Aafrin,Wide Island,Hold,,,
385,10-Purchased Parts,Aafrin,Wide Island,Completed,Completed,Completed,
409,3-7/10 digit part numbers,Aafrin,Wide Island,Hold,,,
455,5-instructions/dimensional application dwg,Aafrin,Wide Island,Completed,Completed,,
149,1-Rev/Description,Bash,Reach-in,Completed,Completed,,
255,10-Purchased Parts,Bash,Reach-in,Completed,Completed,,
273,3-7/10 digit part numbers,Bash,Reach-in,Hold,,,
430,3-7/10 digit part numbers,Bash,Reach-in,Hold,,,
436,3-7/10 digit part numbers,Bash,Reach-in,Hold,,,
476,3-7/10 digit part numbers,Bash,Reach-in,Hold,,,
176,1-Rev/Description,Bash,Insight,Completed,Completed,,
327,10-Purchased Parts,Bash,Insight,Completed,Completed,,
66,3-7/10 digit part numbers,Bash,Wide Island,Hold,,,
408,3-7/10 digit part numbers,Bash,Wide Island,Hold,,,
456,5-instructions/dimensional application dwg,Bash,Wide Island,Completed,Completed,,
109,1-Rev/Description,Godwin,Reach-in,Completed,,,"This batch was already audited by the U.S. auditor, Larry Leonard."
238,10-Purchased Parts,Godwin,Reach-in,Completed,,,
248,10-Purchased Parts,Godwin,Reach-in,Completed,,,
268,3-7/10 digit part numbers,Godwin,Reach-in,Hold,,,
440,3-7/10 digit part numbers,Godwin,Reach-in,Completed,,,
425,3-7/10 digit part numbers,Godwin,Reach-in,Hold,,,
441,3-7/10 digit part numbers,Godwin,Reach-in,Completed,,,
475,10-Purchased Parts,Godwin,Reach-in,InProgress,,,
186,1-Rev/Description,Godwin,Insight,Completed,Completed,,
191,1-Rev/Description,Godwin,Insight,Completed,Completed,,
219,2-Rev/Description Update,Godwin,Insight,Completed,InProgress,,
224,2-Rev/Description Update,Godwin,Insight,Completed,Completed,Completed,
229,2-Rev/Description Update,Godwin,Insight,Completed,Completed,,
333,10-Purchased Parts,Godwin,Insight,Completed,,,
334,10-Purchased Parts,Godwin,Insight,Completed,Completed,,
34,10-Purchased Parts,Godwin,Wide Island,Completed,,,
45,10-Purchased Parts,Godwin,Wide Island,Completed,Completed,Completed,
61,3-7/10 digit part numbers,Godwin,Wide Island,Completed,,,
68,3-7/10 digit part numbers,Godwin,Wide Island,Completed,,,
380,1-Rev/Description,Godwin,Wide Island,Completed,Completed,Completed,
403,3-7/10 digit part numbers,Godwin,Wide Island,Completed,,,
419,5-instructions/dimensional application dwg,Godwin,Wide Island,Completed,Completed,,
462,10-Purchased Parts,Godwin,Wide Island,Hold,,,
457,5-instructions/dimensional application dwg,Godwin,Wide Island,Completed,,,
152,2-Rev/Description Update,Keerthana,Reach-in,Completed,,,
242,10-Purchased Parts,Keerthana,Reach-in,Completed,,,
252,10-Purchased Parts,Keerthana,Reach-in,Completed,,,
272,3-7/10 digit part numbers,Keerthana,Reach-in,InProgress,,,
429,3-7/10 digit part numbers,Keerthana,Reach-in,InProgress,,,cad files aadthithya
466,3-7/10 digit part numbers,Keerthana,Reach-in,InProgress,,,
206,1-Rev/Description,Keerthana,Insight,InProgress,,,Prince batch and working  aafrin
